configuration,configuration_label,model,outer_fold,accuracy,balanced_accuracy,precision_risk,recall_risk,f1_risk
C,Without first- or second-period grades,Logistic Regression,3,0.7341772151898734,0.7235123367198839,0.5806451612903226,0.6923076923076923,0.631578947368421
C,Without first- or second-period grades,Decision Tree,3,0.5316455696202531,0.5921625544267054,0.39215686274509803,0.7692307692307693,0.5194805194805194
C,Without first- or second-period grades,Random Forest,3,0.6582278481012658,0.5983309143686503,0.4782608695652174,0.4230769230769231,0.4489795918367347
C,Without first- or second-period grades,Naive baseline,4,0.6708860759493671,0.5,0.0,0.0,0.0
C,Without first- or second-period grades,Logistic Regression,4,0.6329113924050633,0.5990566037735849,0.4482758620689655,0.5,0.4727272727272727
C,Without first- or second-period grades,Decision Tree,4,0.569620253164557,0.5714804063860668,0.39473684210526316,0.5769230769230769,0.46875
C,Without first- or second-period grades,Random Forest,4,0.6582278481012658,0.5983309143686503,0.4782608695652174,0.4230769230769231,0.4489795918367347
C,Without first- or second-period grades,Naive baseline,5,0.6708860759493671,0.5,0.0,0.0,0.0
C,Without first- or second-period grades,Logistic Regression,5,0.7341772151898734,0.7039187227866474,0.5925925925925926,0.6153846153846154,0.6037735849056604
C,Without first- or second-period grades,Decision Tree,5,0.7215189873417721,0.6650943396226415,0.5909090909090909,0.5,0.5416666666666666
C,Without first- or second-period grades,Random Forest,5,0.7215189873417721,0.6846879535558781,0.5769230769230769,0.5769230769230769,0.5769230769230769
