configuration,configuration_label,encoded_feature,coefficient,absolute_coefficient,direction
C,Without first- or second-period grades,categorical__nursery_yes,0.1395540685644216,0.1395540685644216,higher predicted risk
C,Without first- or second-period grades,numeric__absences,0.13578584168327776,0.13578584168327776,higher predicted risk
C,Without first- or second-period grades,numeric__Medu,-0.1254316170474996,0.1254316170474996,lower predicted risk
C,Without first- or second-period grades,numeric__Fedu,-0.1113532012636555,0.1113532012636555,lower predicted risk
C,Without first- or second-period grades,categorical__famsize_LE3,-0.10688727415910727,0.10688727415910727,lower predicted risk
C,Without first- or second-period grades,categorical__famsize_GT3,0.10428449245669152,0.10428449245669152,higher predicted risk
C,Without first- or second-period grades,categorical__paid_yes,-0.10271512001361673,0.10271512001361673,lower predicted risk
C,Without first- or second-period grades,categorical__paid_no,0.1001123383112124,0.1001123383112124,higher predicted risk
C,Without first- or second-period grades,numeric__Dalc,0.09625687588301003,0.09625687588301003,higher predicted risk
C,Without first- or second-period grades,categorical__activities_no,-0.09425430110848508,0.09425430110848508,lower predicted risk
C,Without first- or second-period grades,numeric__freetime,-0.0939013530084699,0.0939013530084699,lower predicted risk
C,Without first- or second-period grades,categorical__activities_yes,0.09165151940608013,0.09165151940608013,higher predicted risk
C,Without first- or second-period grades,categorical__Mjob_at_home,-0.09116849125387733,0.09116849125387733,lower predicted risk
C,Without first- or second-period grades,categorical__address_U,-0.08218967210485702,0.08218967210485702,lower predicted risk
C,Without first- or second-period grades,categorical__address_R,0.07958689040245608,0.07958689040245608,higher predicted risk
C,Without first- or second-period grades,categorical__guardian_mother,0.073746628421572,0.073746628421572,higher predicted risk
C,Without first- or second-period grades,categorical__guardian_other,-0.055495237208681415,0.055495237208681415,lower predicted risk
C,Without first- or second-period grades,categorical__Fjob_at_home,0.055414713376852096,0.055414713376852096,higher predicted risk
C,Without first- or second-period grades,categorical__Fjob_other,-0.051334887568395354,0.051334887568395354,lower predicted risk
C,Without first- or second-period grades,categorical__guardian_father,-0.020854172915291933,0.020854172915291933,lower predicted risk
C,Without first- or second-period grades,numeric__traveltime,-0.012941627150884108,0.012941627150884108,lower predicted risk
C,Without first- or second-period grades,categorical__reason_home,-0.0017561469488606425,0.0017561469488606425,lower predicted risk
